group,lb,ub,epsilonG,ELAL,n
All,0.0082,0.036,0.0222,0.0278,3317
< 25,0.0231,0.073,0.0483,0.05,999
25 - 45,0.0052,0.0417,0.0235,0.0365,1924
> 45,-0.0922,-0.0097,-0.0507,0.0825,394
M,0.0288,0.0591,0.044,0.0303,2726
F,-0.1125,-0.0449,-0.0786,0.0676,591
M (< 25),0.0654,0.1195,0.0929,0.0541,798
F (< 25),-0.186,-0.0706,-0.1286,0.1153,201
M (25 - 45),0.0144,0.0543,0.0345,0.0399,1593
F (25 - 45),-0.0745,0.015,-0.0294,0.0895,331
M (> 45),-0.072,0.017,-0.0272,0.0889,335
F (> 45),-0.2858,-0.0777,-0.1846,0.208,59
