"group","lb","ub","epsilonG","ELAL","n"
"F","-0.1346","-0.0671","-0.1008","0.0676",591
"< 25","-0.2082","-0.0928","-0.1508","0.1153",201
"25 - 45","-0.0967","-0.0071","-0.0516","0.0895",331
"> 45","-0.3079","-0.0999","-0.2067","0.208",59
"< 25, Caucasian","-0.3241","-0.132","-0.2312","0.192",68
"< 25, African-American","-0.1799","-0.0307","-0.1052","0.1492",120
"25 - 45, Caucasian","-0.0886","0.0527","-0.0166","0.1413",129
"25 - 45, African-American","-0.1469","-0.0275","-0.0869","0.1194",188
"> 45, Caucasian","-0.384","-0.0855","-0.2431","0.2985",27
"> 45, African-American","-0.3105","-0.0137","-0.1652","0.2969",29
