group,lb,ub,epsilonG,ELAL,n
All,0.0212,0.0553,0.0384,0.0341,2174
< 25,0.0449,0.1058,0.0758,0.0609,646
25 - 45,0.0132,0.0576,0.0355,0.0444,1281
> 45,-0.0971,0.0068,-0.0448,0.1039,247
M,0.0413,0.0779,0.0597,0.0366,1837
F,-0.1227,-0.0334,-0.078,0.0894,337
M (< 25),0.0787,0.1441,0.1121,0.0654,526
F (< 25),-0.1577,-0.0085,-0.083,0.1492,120
M (25 - 45),0.0287,0.0763,0.0528,0.0476,1093
F (25 - 45),-0.1247,-0.0053,-0.0647,0.1194,188
M (> 45),-0.0874,0.0229,-0.0317,0.1103,218
F (> 45),-0.2884,0.0085,-0.1431,0.2969,29
